PersonType,Age,CityState,Injury,SafetyDevice,Date,Time,County,Location,Troop
JUVENILE,3,"CRESTVIEW, FL",NO INJURY,YES,2024-11-15,1:00AM,SALINE,I 70 EASTBOUND AT THE 81MILE MARKER,A
ADULT,31,"CRESTVIEW, FL",NO INJURY,UNKNOWN,2024-11-15,1:00AM,SALINE,I 70 EASTBOUND AT THE 81MILE MARKER,A
ADULT,29,"CRESTVIEW, FL",MINOR,UNKNOWN,2024-11-15,1:00AM,SALINE,I 70 EASTBOUND AT THE 81MILE MARKER,A
ADULT,20,"WARSAW, MOL",SERIOUS,UNKNOWN,2024-11-15,12:05AM,BENTON,HWY 7 NORTH COLD SPRINGS,A
ADULT,UNK,UNKNOWN,NO INJURY,UNKNOWN,2024-11-15,12:05AM,BENTON,HWY 7 NORTH COLD SPRINGS,A
ADULT,27,"WARRENSBURG, MO",MODERATE,YES,2024-11-14,10:35PM,JOHNSON,PERTLE SPRINGS ROAD WEST OF PAR DRIVE,A
ADULT,51,"MILO, MO",NO INJURY,YES,2024-11-14,5:37PM,CASS,I-49 NB SOUTH OF N CASS PKWY,A
ADULT,41,"LEE'S SUMMIT, MO",SERIOUS,YES,2024-11-14,5:37PM,CASS,I-49 NB SOUTH OF N CASS PKWY,A
ADULT,47,"LEE'S SUMMIT, MO",SERIOUS,YES,2024-11-14,5:37PM,CASS,I-49 NB SOUTH OF N CASS PKWY,A
ADULT,30,"ADRIAN, MO",NO INJURY,YES,2024-11-14,5:37PM,CASS,I-49 NB SOUTH OF N CASS PKWY,A
ADULT,23,"EXCELSIOR SPRINGS, MO",NO INJURY,YES,2024-11-13,6:01PM,RAY,MO 10 WEST OF PISGAH CEMETERY RD,A
ADULT,32,"KANSAS CITY, KS",NO INJURY,YES,2024-11-13,3:20PM,LAFAYETTE,MO-131 NORTH OF BIG BRANCH ROAD,A
ADULT,46,"KANSAS CITY, KS",MODERATE,NO,2024-11-13,3:20PM,LAFAYETTE,MO-131 NORTH OF BIG BRANCH ROAD,A
ADULT,20,"WARSAW, MO",NO INJURY,YES,2024-11-12,9:30PM,BENTON,US 65 NORTH OF ROUTE BB,A
ADULT,25,"PERU, IOWA",MODERATE,YES,2024-11-12,9:30PM,BENTON,US 65 NORTH OF ROUTE BB,A
ADULT,59,"KNOB NOSTER,MO",NO INJURY,YES,2024-11-12,7:36PM,JOHNSON,US_50 AND NE HWY D,A
ADULT,21,"JEFFERSON CITY, MO",MINOR,YES,2024-11-12,7:36PM,JOHNSON,US_50 AND NE HWY D,A
ADULT,42,"LEE'S SUMMIT, MO",NO INJURY,YES,2024-11-12,5:30PM,JACKSON,I-470 AT WOODS CHAPEL RD,A
ADULT,62,"INDEPENDENCE, MO",MINOR,UNKNOWN,2024-11-12,5:30PM,JACKSON,I-470 AT WOODS CHAPEL RD,A
ADULT,50,"GRAIN VALLEY, MO",MINOR,UNKNOWN,2024-11-12,5:30PM,JACKSON,I-470 AT WOODS CHAPEL RD,A
ADULT,32,"OVERLAND PARK, KS",MINOR,YES,2024-11-12,5:30PM,JACKSON,I-470 AT WOODS CHAPEL RD,A
ADULT,50,"WARSAW, MO",MODERATE,NO,2024-11-12,2:35PM,BENTON,RT-MM AT IRONWOOD AVENUE,A
ADULT,25,"LONG BEACH, CA",NO INJURY,YES,2024-11-12,12:15PM,SALINE,EASTBOUND I-70 AT THE 82 MILE MARKER,A
ADULT,26,"LONG BEACH, CA",MINOR,YES,2024-11-12,12:15PM,SALINE,EASTBOUND I-70 AT THE 82 MILE MARKER,A
ADULT,61,"LEXINGTON, SC",NO INJURY,YES,2024-11-12,12:15PM,SALINE,EASTBOUND I-70 AT THE 82 MILE MARKER,A
ADULT,85,"SCHELL CITY, MO",NO INJURY,YES,2024-11-12,7:40AM,BATES,"HWY B AT HWY P, ROCKVILLE",A
ADULT,37,"APPLETON CITY, MO",MINOR,NO,2024-11-12,7:40AM,BATES,"HWY B AT HWY P, ROCKVILLE",A
ADULT,44,"MARYVILLE, MO",SERIOUS,NO,2024-11-11,11:20PM,PLATTE,I-29 AT MO 273,A
ADULT,50,"KANSAS CITY, MO",NO INJURY,YES,2024-11-11,11:20PM,PLATTE,I-29 AT MO 273,A
ADULT,67,"PLATTE CITY, MO",NO INJURY,YES,2024-11-11,7:20PM,CLAY,I-435 AT 96TH ST,A
ADULT,33,"SUGAR CREEK, MO",MINOR,YES,2024-11-11,7:20PM,CLAY,I-435 AT 96TH ST,A
ADULT,72,"CAPE GIRARDEAU, MO",MINOR,YES,2024-11-11,7:20PM,CLAY,I-435 AT 96TH ST,A
ADULT,33,"SUGAR CREEK, MO",MINOR,YES,2024-11-11,7:20PM,CLAY,I-435 AT 96TH ST,A
ADULT,48,"GARDEN CIYT, MO",MINOR,UNKNOWN,2024-11-11,5:50PM,CASS,SOUTHBOUND I 49 AT THE 161.4 MILE MARKER,A
ADULT,27,"KANSAS CITY, MO",NO INJURY,UNKNOWN,2024-11-10,8:45PM,LAFAYETTE,I 70 WB MM 46,A
ADULT,28,"KANSAS CITY, KS",MINOR,UNKNOWN,2024-11-10,8:45PM,LAFAYETTE,I 70 WB MM 46,A
ADULT,25,"OAK GROVE, MO",MODERATE,UNKNOWN,2024-11-10,5:55PM,JACKSON,ROUTE FF AT E OAKLAND SCHOOL RD,A
ADULT,72,"SUGAR CREEK, MO",SERIOUS,NO,2024-11-10,3:00PM,JOHNSON,HWY 50 NEAR NW 121ST ROAD,A
ADULT,UNK,UNKNOWN,NO INJURY,UNKNOWN,2024-11-10,3:00PM,JOHNSON,HWY 50 NEAR NW 121ST ROAD,A
ADULT,58,"EDWARDS, MO",MINOR,YES,2024-11-10,9:00AM,BENTON,MO 7 SOUTH OF ROUTE AA,A
ADULT,39,"LIBERTY, MO",NO INJURY,YES,2024-11-09,5:20PM,CLAY,NE L P COOKINGHAM DR AT NE 112TH ST,A
ADULT,31,"KANSAS CITY, MO",MINOR,YES,2024-11-09,5:20PM,CLAY,NE L P COOKINGHAM DR AT NE 112TH ST,A
ADULT,41,"AMORET, MO",SERIOUS,NO,2024-11-09,1:35PM,BATES,NW CR 3002 WEST OF ROUTE Y,A
ADULT,37,"PITTSBURG, KS",NO INJURY,NO,2024-11-09,1:35PM,BATES,NW CR 3002 WEST OF ROUTE Y,A
ADULT,56,"SEDALIA, MO",MODERATE,YES,2024-11-08,10:11PM,PETTIS,NORTHBOUND HWY 65 AT BOTHWELL PARK,A
ADULT,40,"PECULIAR, MO",SERIOUS,YES,2024-11-08,9:58PM,CASS,ROUTE Y NORTH OF 205TH STREET,A
ADULT,37,"PASSAIC, MISSOURI",MINOR,YES,2024-11-08,6:14AM,CASS,SOUTHBOUND SHERWOOD DRIVE AND GREGG ROAD,A
ADULT,25,"BUTLER, MISSOURI",NO INJURY,UNKNOWN,2024-11-08,6:14AM,CASS,SOUTHBOUND SHERWOOD DRIVE AND GREGG ROAD,A
ADULT,18,"GILLMAN CITY,MO",MINOR,YES,2024-11-07,8:15PM,JOHNSON,SB MO 13 SOUTH OF SE 300 RD,A
ADULT,44,"BUTLER,MO",MINOR,NO,2024-11-06,8:38PM,BATES,I-49 AT MO 52 E,A
ADULT,29,"BRIARWOOD,NY",NO INJURY,YES,2024-11-06,8:38PM,BATES,I-49 AT MO 52 E,A
ADULT,18,"LIBERTY,MO",MINOR,YES,2024-11-06,7:15PM,CLAY,I-35 SB AT 12 MM,A
ADULT,25,"HARRISONVILLE, MO",MINOR,YES,2024-11-06,7:15PM,CLAY,I-35 SB AT 12 MM,A
ADULT,35,"PLEASANT VALLEY, MO",NO INJURY,YES,2024-11-06,7:15PM,CLAY,I-35 SB AT 12 MM,A
ADULT,28,"WINDSOR, MO",MINOR,YES,2024-11-06,5:30PM,JOHNSON,US 50 AT NW 401ST RD,A
ADULT,43,"HOLDEN, MO",MINOR,YES,2024-11-05,6:53PM,JOHNSON,US 50 AND NW 1421 RD,A
ADULT,19,"BLUE SPRINGS, MO",MINOR,YES,2024-11-05,6:53PM,JOHNSON,US 50 AND NW 1421 RD,A
JUVENILE,16,"LIBERTY, MO",MINOR,YES,2024-11-04,8:25PM,CLAY,NORTHBOUND I-35 RAMP TO SOUTHBOUND I-435,A
ADULT,64,"KANSAS CITY, MO",MINOR,YES,2024-11-04,2:25PM,CLAY,SB I29 AT NORTH OAK TRAFFICWAY,A
ADULT,23,"KANSAS CITY, MO",NO INJURY,YES,2024-11-04,2:25PM,CLAY,SB I29 AT NORTH OAK TRAFFICWAY,A
ADULT,49,"KANSAS CITY, MO",MINOR,YES,2024-11-04,2:25PM,CLAY,SB I29 AT NORTH OAK TRAFFICWAY,A
ADULT,47,"LAWTON, OK",NO INJURY,YES,2024-11-04,2:25PM,CLAY,SB I29 AT NORTH OAK TRAFFICWAY,A
ADULT,60,"BONNER SPRINGS, KS",MINOR,YES,2024-11-04,5:42AM,CASS,MO-7 AT ROUTE T,A
ADULT,30,"GARDEN CITY, MO",MINOR,YES,2024-11-04,5:42AM,CASS,MO-7 AT ROUTE T,A
ADULT,29,"WARRENSBURG, MO",MINOR,YES,2024-11-03,8:10PM,LAFAYETTE,I 70 EASTBOUND AT THE 57.4 MILE MARKER,A
ADULT,66,"WARRENSBURG, MO",MINOR,YES,2024-11-03,8:10PM,LAFAYETTE,I 70 EASTBOUND AT THE 57.4 MILE MARKER,A
ADULT,54,"ABILENE, TEXAS",NO INJURY,YES,2024-11-03,6:25AM,LAFAYETTE,70 WESTBOUND AT THE 67.2 MILE MARKER,A
ADULT,28,"WICHITA, KS",MINOR,YES,2024-11-03,6:25AM,LAFAYETTE,70 WESTBOUND AT THE 67.2 MILE MARKER,A
ADULT,23,"SCIO, NY",MINOR,YES,2024-11-03,6:25AM,LAFAYETTE,70 WESTBOUND AT THE 67.2 MILE MARKER,A
ADULT,65,"KANSAS CITY, MISSOURI",MINOR,YES,2024-11-03,6:05AM,CLAY,I 35 NORTHBOUND SOUTH OF 435,A
ADULT,23,KANSAS CITY MISSOURI,NO INJURY,YES,2024-11-03,6:05AM,CLAY,I 35 NORTHBOUND SOUTH OF 435,A
ADULT,20,"SEDALIA, MO",MODERATE,UNKNOWN,2024-11-03,1:20AM,CASS,HWY 7 NORTH OF ELLIOT RD,A
ADULT,20,"SMITHON, MO",MODERATE,UNKNOWN,2024-11-03,1:20AM,CASS,HWY 7 NORTH OF ELLIOT RD,A
JUVENILE,16,"BELTON, MO",MINOR,YES,2024-11-02,8:56PM,CASS,RT-Y AT TROTT RD,A
ADULT,26,"BELTON, MO",NO INJURY,YES,2024-11-02,8:56PM,CASS,RT-Y AT TROTT RD,A
ADULT,38,"ELDON, MO",NO INJURY,YES,2024-11-02,7:30PM,PLATTE,SOUTHBOUND I-29 AT THE 17.6 MILE MARKER,A
ADULT,39,"ELDON, MO",SERIOUS,YES,2024-11-02,7:30PM,PLATTE,SOUTHBOUND I-29 AT THE 17.6 MILE MARKER,A
ADULT,73,"BELTON, MISSOURI",MINOR,YES,2024-11-02,8:25AM,CASS,SOUTH PROSPECT JUST NORTH OF 187TH STREET,A
ADULT,44,"RICH HILL, MO",MINOR,YES,2024-11-01,10:00PM,BATES,NB 49 AT THE 126MM,A
ADULT,45,"RICH HILL, MO",MINOR,YES,2024-11-01,10:00PM,BATES,NB 49 AT THE 126MM,A
ADULT,56,"WARRENSBURG, MO",SERIOUS,NO,2024-11-01,8:45PM,JOHNSON,US 50 HIGHWAY AT ROUTE D,A
ADULT,77,"SEDALIA, MO",NO INJURY,YES,2024-11-01,8:45PM,JOHNSON,US 50 HIGHWAY AT ROUTE D,A
ADULT,27,"EXCELSIOR SPRINGS, MO",FATAL,NO,2024-11-01,5:08PM,CLAY,EASTBOUND MO-210 JUST WEST OF STATE ROUTE EE,A
ADULT,23,"ORRICK, MO",MINOR,YES,2024-11-01,5:08PM,CLAY,EASTBOUND MO-210 JUST WEST OF STATE ROUTE EE,A
ADULT,76,"ORRICK, MO",SERIOUS,YES,2024-11-01,5:08PM,CLAY,EASTBOUND MO-210 JUST WEST OF STATE ROUTE EE,A
ADULT,35,"WARRENSBURG, MO",MODERATE,NO,2024-10-31,6:14PM,JOHNSON,SE 601 RD SOUTH OF SE 581 RD,A
ADULT,46,"WARRENSBURG, MO",NO INJURY,YES,2024-10-31,6:14PM,JOHNSON,SE 601 RD SOUTH OF SE 581 RD,A
ADULT,70,"FORISTELL, MO",MODERATE,YES,2024-10-30,11:14PM,JOHNSON,EB US 50 1/4 MILE WEST OF HWY 13 BYPASS,A
ADULT,28,"WARRENSBURG, MO",MINOR,YES,2024-10-30,7:12PM,LAFAYETTE,MO 13 AT MISSOURI 13 BUSINESS ROUTE,A
ADULT,40,"WAVERLY, MO",MINOR,YES,2024-10-30,7:12PM,LAFAYETTE,MO 13 AT MISSOURI 13 BUSINESS ROUTE,A
ADULT,22,"MISSION, KS",MINOR,YES,2024-10-30,2:30PM,PLATTE,RAMP FROM SB I29 TO SB 635,A
ADULT,44,"DES MOINES, IA",NO INJURY,YES,2024-10-30,2:30PM,PLATTE,RAMP FROM SB I29 TO SB 635,A
ADULT,19,"CHILHOWEE, MO",MINOR,UNKNOWN,2024-10-30,10:10AM,JOHNSON,SOUTHBOUND ROUTE O SOUTH OF CR 725,A
ADULT,29,"KANSAS CITY, MO",SERIOUS,NO,2024-10-30,9:55AM,SALINE,NORTHBOUND US 65 NORTH OF MOUNT OLIVE,A
ADULT,51,"HIGGINSVILLE, MO",MINOR,YES,2024-10-29,4:10PM,PETTIS,US-65 AT DEER PARK RD,A
JUVENILE,17,"PLATTE CITY, MO",MINOR,YES,2024-10-29,7:50AM,PLATTE,EB MO 152 RAMP TO SB 29,A
ADULT,29,"LIBERTY, MO",MODERATE,NO,2024-10-28,2:26PM,RAY,ROUTE O SOUTH OF PENDELTON RD,A
JUVENILE,11,"EXCELSIOR SPRINGS, MO",MODERATE,NO,2024-10-28,2:26PM,RAY,ROUTE O SOUTH OF PENDELTON RD,A
ADULT,63,"KANSAS CITY, MO",MINOR,YES,2024-10-28,7:09AM,LAFAYETTE,I70 WESTBOUND AT MILE MARKER 58.6,A
ADULT,44,"OVERLAND PARK, MO",SERIOUS,YES,2024-10-27,7:10PM,RAY,HWY 10 EAST OF SOUTH ST,A
ADULT,66,"CARROLLTON, MO",NO INJURY,YES,2024-10-27,7:10PM,RAY,HWY 10 EAST OF SOUTH ST,A
ADULT,23,"ODESSA, MO",MINOR,YES,2024-10-27,2:29PM,RAY,13216 LETZIG RD,A
ADULT,62,"CHOCTAW, OK",MINOR,YES,2024-10-27,10:05AM,CLAY,SB 35 SOUTH OF ANTIOCH ROAD,A
ADULT,60,CHOCTAW OK,MINOR,YES,2024-10-27,10:05AM,CLAY,SB 35 SOUTH OF ANTIOCH ROAD,A
ADULT,35,"KANSAS CITY, MO",NO INJURY,YES,2024-10-27,10:05AM,CLAY,SB 35 SOUTH OF ANTIOCH ROAD,A
ADULT,19,"KANSAS CITY, MO",MINOR,YES,2024-10-27,3:10AM,CLAY,I-435 SOUTHBOUND AT MILE MARKER 55,A
ADULT,38,"MOUNT HOPE, WV",MODERATE,YES,2024-10-27,2:35AM,LAFAYETTE,EASTBOUND I 70 58 MILE MARKER,A
ADULT,38,"GLEN JENA, WEST VIRIGINA",NO INJURY,YES,2024-10-27,2:35AM,LAFAYETTE,EASTBOUND I 70 58 MILE MARKER,A
ADULT,35,"HOLDEN, MO",MINOR,NO,2024-10-27,12:52AM,LAFAYETTE,SOUTHBOUND GERMAN CURCH ROAD - SOUTH OF US 24,A
ADULT,40,"KANSAS CITY, MO",NO INJURY,YES,2024-10-26,7:52PM,JACKSON,NORTHBOUND I-470 NORTH OF NE LAKEWOOD BLVD,A
ADULT,60,"KANSAS CITY, MO",MINOR,YES,2024-10-26,7:52PM,JACKSON,NORTHBOUND I-470 NORTH OF NE LAKEWOOD BLVD,A
ADULT,37,"LEE'S SUMMIT, MO",SERIOUS,NO,2024-10-26,7:50PM,PLATTE,I-29 NORTHBOUND AT THE 9 MILE MARKER,A
JUVENILE,11,"KANSAS CITY, MO",MINOR,YES,2024-10-26,7:50PM,PLATTE,I-29 NORTHBOUND AT THE 9 MILE MARKER,A
ADULT,19,"KANSAS CITY, MO",NO INJURY,YES,2024-10-26,7:50PM,PLATTE,I-29 NORTHBOUND AT THE 9 MILE MARKER,A
JUVENILE,17,"LEAVENWORTH, KS",MINOR,YES,2024-10-26,7:50PM,PLATTE,I-29 NORTHBOUND AT THE 9 MILE MARKER,A
ADULT,18,"LANSING, KS",MINOR,YES,2024-10-26,7:50PM,PLATTE,I-29 NORTHBOUND AT THE 9 MILE MARKER,A
JUVENILE,15,"TOPEKA, KS",MINOR,YES,2024-10-26,7:50PM,PLATTE,I-29 NORTHBOUND AT THE 9 MILE MARKER,A
ADULT,70,"TOPEKA, KS",NO INJURY,YES,2024-10-26,7:50PM,PLATTE,I-29 NORTHBOUND AT THE 9 MILE MARKER,A
ADULT,80,"COLE CAMP, MO",NO INJURY,YES,2024-10-26,1:25PM,BENTON,US 65 NORTH OF ROUTE P,A
ADULT,23,"SEDALIA, MO",MINOR,YES,2024-10-26,1:25PM,BENTON,US 65 NORTH OF ROUTE P,A
ADULT,40,"COLUMBIA, MO",NO INJURY,YES,2024-10-26,11:35AM,CLAY,NB I435 MM 56,A
ADULT,35,"LENEXA, KS",MINOR,YES,2024-10-26,11:35AM,CLAY,NB I435 MM 56,A
JUVENILE,14,"LENEXA, KS",MINOR,YES,2024-10-26,11:35AM,CLAY,NB I435 MM 56,A
ADULT,61,"LENEXA, KS",NO INJURY,YES,2024-10-26,11:35AM,CLAY,NB I435 MM 56,A
ADULT,36,"ST. LOUIS, MO",MINOR,NO,2024-10-26,4:15AM,JACKSON,EB I 70 MM 18,A
ADULT,22,"MARSHALL, MO",SERIOUS,UNKNOWN,2024-10-26,1:15AM,SALINE,HWY 240 NEAR SILVER AVE,A
ADULT,59,"LEETON, MO",NO INJURY,YES,2024-10-25,3:40PM,JOHNSON,SB MO 13 S OF RT PP,A
ADULT,39,"DEEPWATER, MO",MINOR,YES,2024-10-25,3:40PM,JOHNSON,SB MO 13 S OF RT PP,A
ADULT,18,"BOGARD, MO",MINOR,YES,2024-10-25,3:30PM,CARROLL,"COUNTY ROAD 200, EAST OF COUNTY ROAD 231",A
ADULT,61,"HIGGINSVILLE, MO",MINOR,YES,2024-10-24,10:21PM,JOHNSON,NORTHBOUND MO-13 SOUTH OF NE 1050TH RD,A
ADULT,66,"CARTER LAKE, IA",NO INJURY,YES,2024-10-24,7:02PM,CLAY,I-435 NORTHBOUND AT 53 MILE MARKER,A
ADULT,52,"KANSAS CITY, MO",MINOR,NO,2024-10-24,7:02PM,CLAY,I-435 NORTHBOUND AT 53 MILE MARKER,A
ADULT,55,"KANSAS CITY, MO",NO INJURY,NO,2024-10-24,7:02PM,CLAY,I-435 NORTHBOUND AT 53 MILE MARKER,A
JUVENILE,9,"GILLIAM, MO",MINOR,YES,2024-10-24,5:07PM,SALINE,US-65 ONE HALF MILE NORTH OF MO-127,A
ADULT,47,"GILLIAM, MO",MODERATE,NO,2024-10-24,5:07PM,SALINE,US-65 ONE HALF MILE NORTH OF MO-127,A
JUVENILE,17,"PECULIAR, MO",NO INJURY,YES,2024-10-23,7:40PM,CASS,I-49 SOUTHBOUND AT MM 171.8,A
ADULT,51,"HARRISONVILLE, MO",MINOR,YES,2024-10-23,7:40PM,CASS,I-49 SOUTHBOUND AT MM 171.8,A
JUVENILE,0,"SEDALIA, MO",FATAL,YES,2024-10-23,3:00PM,PLATTE,SOUTHBOUND I-29 AT THE 24.2 MILE MARKER,A
ADULT,57,"LINCOLN, NE",MINOR,YES,2024-10-23,3:00PM,PLATTE,SOUTHBOUND I-29 AT THE 24.2 MILE MARKER,A
ADULT,31,"MANITOBA, CANADA",NO INJURY,YES,2024-10-23,3:00PM,PLATTE,SOUTHBOUND I-29 AT THE 24.2 MILE MARKER,A
ADULT,44,"ST JOSEPH, MO",MINOR,NO,2024-10-23,3:00PM,PLATTE,SOUTHBOUND I-29 AT THE 24.2 MILE MARKER,A
ADULT,47,"LINWOOD, KS",MINOR,YES,2024-10-23,3:00PM,PLATTE,SOUTHBOUND I-29 AT THE 24.2 MILE MARKER,A
ADULT,78,"SAVANNAH, MO",SERIOUS,UNKNOWN,2024-10-23,3:00PM,PLATTE,SOUTHBOUND I-29 AT THE 24.2 MILE MARKER,A
ADULT,26,"NEVADA, MO",SERIOUS,YES,2024-10-23,12:15PM,BATES,NORTHBOUND I-49 NORTH OF 119.4MM,A
ADULT,25,"NEVADA, MO",SERIOUS,YES,2024-10-23,12:15PM,BATES,NORTHBOUND I-49 NORTH OF 119.4MM,A
ADULT,31,"BUTLER, MO",NO INJURY,NO,2024-10-23,12:15PM,BATES,NORTHBOUND I-49 NORTH OF 119.4MM,A
ADULT,28,"CLEVELAND, MO",NO INJURY,NO,2024-10-23,12:11PM,CASS,EASTBOUND 223RD WEST OF ROUTE D,A
ADULT,28,"CLEVELAND, MO",MINOR,NO,2024-10-23,12:11PM,CASS,EASTBOUND 223RD WEST OF ROUTE D,A
ADULT,71,"RICHARDS, MO",SERIOUS,YES,2024-10-23,8:35AM,BATES,SW STATE RTE A AT SW CR 6007,A
ADULT,30,"INDEPENDENCE, MO",SERIOUS,YES,2024-10-23,1:10AM,CLAY,"NORTHBOUND I-435, 307 FEET SOUTH OF THE 52.4 MILE MARKER",A
ADULT,35,"WESLEY CHAPEL, FL",MINOR,NO,2024-10-22,8:10PM,PLATTE,"SOUTHBOUND I-29, 300 FEET SOUTH OF THE 5.0 MILE MARKER",A
ADULT,73,"BEATRICE, NE",MINOR,NO,2024-10-22,8:10PM,PLATTE,"SOUTHBOUND I-29, 300 FEET SOUTH OF THE 5.0 MILE MARKER",A
ADULT,28,"KANSAS CITY, MO",NO INJURY,YES,2024-10-22,8:10PM,PLATTE,"SOUTHBOUND I-29, 300 FEET SOUTH OF THE 5.0 MILE MARKER",A
ADULT,62,"BEATRICE, NE",MODERATE,NO,2024-10-22,8:10PM,PLATTE,"SOUTHBOUND I-29, 300 FEET SOUTH OF THE 5.0 MILE MARKER",A
ADULT,37,"WARRENSBURG, MO",MODERATE,YES,2024-10-22,5:55PM,JOHNSON,HWY 13 SOUTH OF COUNTY ROAD SE 11,A
ADULT,55,"INDEPENDENCE, MO",MINOR,YES,2024-10-22,2:30PM,JACKSON,I 70 WESTBOUND RAMP TO GRAIN VALLEY,A
ADULT,48,"GRAIN VALLEY, MO",NO INJURY,YES,2024-10-22,2:30PM,JACKSON,I 70 WESTBOUND RAMP TO GRAIN VALLEY,A
ADULT,19,LA MONTE/MO,MODERATE,YES,2024-10-22,6:10AM,PETTIS,EASTBOUND MO-Y HIGHWAY JUST EAST OF CURTIS RD,A
ADULT,29,"HARRISONVILLE, MO",MODERATE,NO,2024-10-21,8:52PM,CASS,HWY 7 SOUTH OF OBANNON,A
ADULT,32,"KANSAS CITY, MO",NO INJURY,YES,2024-10-21,8:52PM,CASS,HWY 7 SOUTH OF OBANNON,A
ADULT,31,"BEAVERTON, OR",MINOR,YES,2024-10-21,8:52PM,CASS,HWY 7 SOUTH OF OBANNON,A
ADULT,51,"SEDALIA,MO",SERIOUS,YES,2024-10-21,11:28AM,PETTIS,HWY_127 & HWY_Y,A
ADULT,34,"SEDALIA, MO",MODERATE,YES,2024-10-21,11:28AM,PETTIS,HWY_127 & HWY_Y,A
ADULT,45,"OAK GROVE, MO",NO INJURY,NO,2024-10-21,7:35AM,JACKSON,WB 70 17.8MM,A
ADULT,30,"BLUE SPRINGS, MO",MODERATE,YES,2024-10-21,7:35AM,JACKSON,WB 70 17.8MM,A
