PersonType,Age,CityState,Injury,SafetyDevice,Date,Time,County,Location,Troop
ADULT,26,"SIOUX FALLS, SD",NO INJURY,YES,2024-11-20,12:15PM,ST. CHARLES,HIGHWAY 79 NORTH OF DALBOW ROAD,C
ADULT,19,"ST PETERS, MO",MINOR,YES,2024-11-20,12:15PM,ST. CHARLES,HIGHWAY 79 NORTH OF DALBOW ROAD,C
ADULT,24,"HERCULANIUM, MO",SERIOUS,YES,2024-11-20,3:50AM,ST. CHARLES,EASTBOUND MO 370 WEST OF ELM STREET,C
ADULT,69,"MARYLAND HEIGHTS, MO",NO INJURY,YES,2024-11-20,3:50AM,ST. CHARLES,EASTBOUND MO 370 WEST OF ELM STREET,C
ADULT,31,"SAINTE GENEVIEVE, MO",MODERATE,YES,2024-11-19,2:45PM,ST. LOUIS,SOUTHBOUND INTERSTATE 270 NORTH OF OLIVE BLVD,C
ADULT,29,"FAIRVIEW HEIGHTS, IL",NO INJURY,YES,2024-11-19,2:45PM,ST. LOUIS,SOUTHBOUND INTERSTATE 270 NORTH OF OLIVE BLVD,C
ADULT,62,"VILONIA, AR",MINOR,UNKNOWN,2024-11-19,8:00AM,ST. CHARLES,HIGHWAY P AT HOFF ROAD,C
ADULT,37,"IMPERIAL, MO",MODERATE,YES,2024-11-18,5:40PM,JEFFERSON,OLD LEMAY FERRY RD AT MILLER ROAD,C
JUVENILE,4,"IMPERIAL, MO",MINOR,YES,2024-11-18,5:40PM,JEFFERSON,OLD LEMAY FERRY RD AT MILLER ROAD,C
ADULT,85,"IMPERIAL, MO",NO INJURY,YES,2024-11-18,5:40PM,JEFFERSON,OLD LEMAY FERRY RD AT MILLER ROAD,C
ADULT,41,"WENTZVILLE, MO",NO INJURY,UNKNOWN,2024-11-18,3:30PM,ST. CHARLES,ROUTE P EAST OF EISENBATH ROAD,C
ADULT,36,"WENTZVILLE, MO",MODERATE,YES,2024-11-18,3:30PM,ST. CHARLES,ROUTE P EAST OF EISENBATH ROAD,C
JUVENILE,11,"WENTZVILLE, MO",MODERATE,YES,2024-11-18,3:30PM,ST. CHARLES,ROUTE P EAST OF EISENBATH ROAD,C
ADULT,71,"ROSEBUD, MO",NO INJURY,YES,2024-11-18,9:00AM,FRANKLIN,US HIGHWAY 50 AND COUNTY LINE ROAD,C
ADULT,59,"GERALD, MO",MINOR,YES,2024-11-18,9:00AM,FRANKLIN,US HIGHWAY 50 AND COUNTY LINE ROAD,C
ADULT,57,"HILLSBORO, MO",MINOR,YES,2024-11-17,9:06PM,JEFFERSON,ROUTE A AT ROUTE Z,C
ADULT,22,"HILLSBORO, MO",MODERATE,YES,2024-11-17,9:06PM,JEFFERSON,ROUTE A AT ROUTE Z,C
ADULT,21,"HILLSBORO, MO",MODERATE,NO,2024-11-17,9:06PM,JEFFERSON,ROUTE A AT ROUTE Z,C
ADULT,50,"DE SOTO, MO",NO INJURY,YES,2024-11-17,5:50PM,JEFFERSON,US 67 NORTHBOUND SOUTH OF FLUCOM ROAD,C
ADULT,57,"PARK HILLS, MO",MODERATE,NO,2024-11-17,5:50PM,JEFFERSON,US 67 NORTHBOUND SOUTH OF FLUCOM ROAD,C
ADULT,36,"ST CHARLES, MO",MINOR,YES,2024-11-17,4:20PM,ST. CHARLES,WESTBOUND MISSOURI 94 WEST OF JOYCE LANE,C
ADULT,58,"ST CHARLES, MO",NO INJURY,YES,2024-11-17,4:20PM,ST. CHARLES,WESTBOUND MISSOURI 94 WEST OF JOYCE LANE,C
ADULT,24,"ST. PETERS, MO",MODERATE,YES,2024-11-17,2:57PM,ST. LOUIS,EASTBOUND INTERSTATE 64 EAST OF CLAYTON AVENUE,C
ADULT,57,"STE. GENEVIEVE, MO",MODERATE,YES,2024-11-16,7:50PM,STE. GENEVIEVE,ROUTE EE AT SPROTT ROAD,C
ADULT,50,"LAKE ST. LOUIS, MO",MINOR,NO,2024-11-16,6:10PM,ST. LOUIS,EASTBOUND INTERSTATE 270 WEST OF WEST FLORISSANT AVENUE,C
ADULT,19,"LAKE ST. LOUIS, MO",NO INJURY,NO,2024-11-16,6:10PM,ST. LOUIS,EASTBOUND INTERSTATE 270 WEST OF WEST FLORISSANT AVENUE,C
ADULT,46,"HIGHLAND, IL",NO INJURY,YES,2024-11-16,6:10PM,ST. LOUIS,EASTBOUND INTERSTATE 270 WEST OF WEST FLORISSANT AVENUE,C
ADULT,57,"MARYVILLE, IL",NO INJURY,YES,2024-11-16,6:10PM,ST. LOUIS,EASTBOUND INTERSTATE 270 WEST OF WEST FLORISSANT AVENUE,C
ADULT,33,"OVERLAND, MO",NO INJURY,YES,2024-11-16,2:49PM,ST. LOUIS,EASTBOUND HIGHWAY 30 AND GRAVOIS BLUFFS BLVD,C
ADULT,18,"LAKE ST. LOUIS, MO",NO INJURY,YES,2024-11-16,2:49PM,ST. LOUIS,EASTBOUND HIGHWAY 30 AND GRAVOIS BLUFFS BLVD,C
ADULT,40,"HOUSE SPRINGS, MO",MINOR,YES,2024-11-16,2:49PM,ST. LOUIS,EASTBOUND HIGHWAY 30 AND GRAVOIS BLUFFS BLVD,C
ADULT,74,"FENTON, MO",NO INJURY,YES,2024-11-16,2:49PM,ST. LOUIS,EASTBOUND HIGHWAY 30 AND GRAVOIS BLUFFS BLVD,C
ADULT,34,"HOUSE SPRINGS, MO",MINOR,YES,2024-11-16,2:49PM,ST. LOUIS,EASTBOUND HIGHWAY 30 AND GRAVOIS BLUFFS BLVD,C
JUVENILE,16,MINERAL POINT MO,MINOR,YES,2024-11-16,12:20PM,WASHINGTON,CEDAR CREEK ROAD 1/2 MILE NORTH OF HIGHWAY 32,C
ADULT,26,"UNION, MO",MODERATE,NO,2024-11-16,10:40AM,FRANKLIN,ROUTE UU NORTH OF JERRERIESBURG ROAD,C
ADULT,73,"PERRYVILLE, MO",MINOR,YES,2024-11-15,6:00PM,PERRY,MISSOURI 51 NEAR ROUTE J,C
ADULT,32,"WASHINGTON, MO",NO INJURY,YES,2024-11-15,5:30PM,FRANKLIN,SOUTHBOUND MISSOURI 47 SOUTH OF CLEARVIEW ROAD,C
ADULT,39,"ST. CLAIR, MO",NO INJURY,YES,2024-11-15,5:30PM,FRANKLIN,SOUTHBOUND MISSOURI 47 SOUTH OF CLEARVIEW ROAD,C
ADULT,23,"WASHINGTON, MO",MODERATE,YES,2024-11-15,5:30PM,FRANKLIN,SOUTHBOUND MISSOURI 47 SOUTH OF CLEARVIEW ROAD,C
ADULT,18,"WASHINGTON, MO",MINOR,YES,2024-11-15,5:30PM,FRANKLIN,SOUTHBOUND MISSOURI 47 SOUTH OF CLEARVIEW ROAD,C
ADULT,54,"WASHINGTON, MO",MINOR,YES,2024-11-15,5:30PM,FRANKLIN,SOUTHBOUND MISSOURI 47 SOUTH OF CLEARVIEW ROAD,C
ADULT,50,"WASHINGTON, MO",MODERATE,YES,2024-11-15,5:30PM,FRANKLIN,SOUTHBOUND MISSOURI 47 SOUTH OF CLEARVIEW ROAD,C
ADULT,59,"FREDRICKTOWN, MO",NO INJURY,YES,2024-11-15,5:10PM,ST. LOUIS,SOUTHBOUND 270 NORTH OF MISSOURI 21,C
ADULT,19,"ST. LOUIS, MO",NO INJURY,YES,2024-11-15,5:10PM,ST. LOUIS,SOUTHBOUND 270 NORTH OF MISSOURI 21,C
ADULT,56,"STE. GENEVIEVE, MO",MINOR,YES,2024-11-15,5:10PM,ST. LOUIS,SOUTHBOUND 270 NORTH OF MISSOURI 21,C
ADULT,56,"ST. LOUIS, MO",NO INJURY,YES,2024-11-15,5:10PM,ST. LOUIS,SOUTHBOUND 270 NORTH OF MISSOURI 21,C
ADULT,34,"OVERLAND, MO",NO INJURY,YES,2024-11-15,5:10PM,ST. LOUIS,SOUTHBOUND 270 NORTH OF MISSOURI 21,C
ADULT,36,"LAKE ST. LOUIS, MO",NO INJURY,YES,2024-11-15,3:55PM,ST. LOUIS,EASTBOUND INTERSTATE 70 EAST OF LUCAS AND HUNT,C
ADULT,33,"ST. ANN, MO",NO INJURY,YES,2024-11-15,3:55PM,ST. LOUIS,EASTBOUND INTERSTATE 70 EAST OF LUCAS AND HUNT,C
ADULT,33,"LAKE ST. LOUIS, MO",NO INJURY,YES,2024-11-15,3:55PM,ST. LOUIS,EASTBOUND INTERSTATE 70 EAST OF LUCAS AND HUNT,C
ADULT,35,"HOUSE SPRINGS, MO",MINOR,YES,2024-11-15,3:55PM,ST. LOUIS,EASTBOUND INTERSTATE 70 EAST OF LUCAS AND HUNT,C
JUVENILE,17,"FORISTELL, MO",MINOR,NO,2024-11-15,1:25PM,ST. CHARLES,WESTBOUND INTERSTATE 70 EAST OF CAVE SPRINGS ROAD,C
ADULT,35,"ST. CHARLES, MO",NO INJURY,YES,2024-11-15,1:25PM,ST. CHARLES,WESTBOUND INTERSTATE 70 EAST OF CAVE SPRINGS ROAD,C
ADULT,60,"PARK HILLS, MO",MINOR,YES,2024-11-15,1:25PM,ST. FRANCOIS,HILLSBORO ROAD 1/2 MILE SOUTH OF ROUTE O,C
ADULT,28,"HILLSOBORO, MO",MODERATE,YES,2024-11-15,11:40AM,JEFFERSON,HILLSBORO HOUSE SPRINGS ROAD NORTH OF HAYDEN ROAD,C
ADULT,47,"WENTZVILLE, MO",MINOR,NO,2024-11-15,10:07AM,ST. CHARLES,ROUTE Z AT ROUTE N,C
ADULT,46,"WENTZVILLE, MO",MODERATE,NO,2024-11-15,10:07AM,ST. CHARLES,ROUTE Z AT ROUTE N,C
JUVENILE,17,"LAKE ST. LOUIS, MO",NO INJURY,YES,2024-11-15,10:07AM,ST. CHARLES,ROUTE Z AT ROUTE N,C
ADULT,88,"EUREKA, MO",NO INJURY,YES,2024-11-15,7:15AM,ST. LOUIS,I-44 EASTBOUND RAMP TO HIGHWAY 141,C
ADULT,36,"EUREKA, MO",NO INJURY,YES,2024-11-15,7:15AM,ST. LOUIS,I-44 EASTBOUND RAMP TO HIGHWAY 141,C
ADULT,29,"ST. CLAIR, MO",MINOR,YES,2024-11-15,7:15AM,ST. LOUIS,I-44 EASTBOUND RAMP TO HIGHWAY 141,C
ADULT,28,"IRONTON, MO",MINOR,YES,2024-11-15,6:07AM,ST. FRANCOIS,HIGHWAY 221 AND ROUTE NN,C
ADULT,37,"ST CHARLES, MO",MODERATE,NO,2024-11-14,9:45PM,ST. LOUIS,SOUTHBOUND I-270 SOUTH OF MO 370,C
ADULT,24,"FLORISSANT, MO",NO INJURY,YES,2024-11-14,9:45PM,ST. LOUIS,SOUTHBOUND I-270 SOUTH OF MO 370,C
ADULT,39,"LESLIE, MO",MODERATE,EXEMPT,2024-11-14,8:45PM,FRANKLIN,WESTBOUND 50 NEAR ROUTE UU,C
ADULT,58,"UNION, MO",NO INJURY,YES,2024-11-14,8:45PM,FRANKLIN,WESTBOUND 50 NEAR ROUTE UU,C
ADULT,42,"FESTUS, MO",MODERATE,NO,2024-11-14,6:50PM,JEFFERSON,US 61 SOUTHBOUND SOUTH OF PLATTIN ROAD,C
ADULT,43,"HILLSBORO, MO",NO INJURY,YES,2024-11-14,6:50PM,JEFFERSON,US 61 SOUTHBOUND SOUTH OF PLATTIN ROAD,C
ADULT,38,"FENTON, MO",MODERATE,YES,2024-11-14,5:00PM,JEFFERSON,NEW SUGAR CREEK RD AND GRANDVIEW DRIVE,C
ADULT,39,"ARNOLD, MO",NO INJURY,YES,2024-11-14,5:00PM,JEFFERSON,NEW SUGAR CREEK RD AND GRANDVIEW DRIVE,C
ADULT,31,"ST. LOUIS, MO",NO INJURY,YES,2024-11-14,1:10PM,ST. LOUIS,"WESTBOUND INTERSTATE 70, EAST OF INTERSTATE 270",C
ADULT,29,"FAIRVIEW HEIGHTS, IL",SERIOUS,EXEMPT,2024-11-14,1:10PM,ST. LOUIS,"WESTBOUND INTERSTATE 70, EAST OF INTERSTATE 270",C
ADULT,24,"BONNE TERRE, MO",MODERATE,YES,2024-11-14,12:18PM,ST. FRANCOIS,5159 HILLSBORO RD,C
ADULT,75,"BONNE TERRE, MO",NO INJURY,YES,2024-11-14,12:18PM,ST. FRANCOIS,5159 HILLSBORO RD,C
ADULT,23,"PARK HILLS, MO",NO INJURY,YES,2024-11-14,6:53AM,JEFFERSON,SOUTHBOUND US-67 SOUTH OF BUCK CREEK ROAD,C
JUVENILE,13,"DE SOTO, MO",MINOR,YES,2024-11-14,6:53AM,JEFFERSON,SOUTHBOUND US-67 SOUTH OF BUCK CREEK ROAD,C
JUVENILE,10,"DE SOTO, MO",MINOR,YES,2024-11-14,6:53AM,JEFFERSON,SOUTHBOUND US-67 SOUTH OF BUCK CREEK ROAD,C
ADULT,18,"DE SOTO, MO",MINOR,YES,2024-11-14,6:53AM,JEFFERSON,SOUTHBOUND US-67 SOUTH OF BUCK CREEK ROAD,C
JUVENILE,12,"DE SOTO, MO",MINOR,YES,2024-11-14,6:53AM,JEFFERSON,SOUTHBOUND US-67 SOUTH OF BUCK CREEK ROAD,C
ADULT,41,"DE SOTO, MO",MINOR,YES,2024-11-14,6:53AM,JEFFERSON,SOUTHBOUND US-67 SOUTH OF BUCK CREEK ROAD,C
ADULT,54,"WRIGHT CITY, MO",SERIOUS,YES,2024-11-14,5:40AM,WARREN,"WILDCAT DRIVE, SOUTH OF BERETTA COURT",C
ADULT,48,"HERCULANEUM, MO",MINOR,YES,2024-11-13,6:50PM,JEFFERSON,SOUTHBOUND INTERSTATE 55 NORTH OF ROUTE Z,C
ADULT,39,"PEVELY, MO",NO INJURY,YES,2024-11-13,6:50PM,JEFFERSON,SOUTHBOUND INTERSTATE 55 NORTH OF ROUTE Z,C
ADULT,22,"ELSBERRY, MO",MINOR,YES,2024-11-13,10:20AM,LINCOLN,MISSOURI 79 SOUTH OF EVANS LANE,C
ADULT,48,"CRYSTAL CITY, MO",SERIOUS,YES,2024-11-12,8:57PM,JEFFERSON,WEST OUTER ROAD (SOUTHBOUND INTERSTATE 55) AT ELM DRIVE,C
ADULT,54,"FRENCH VILLAGE, MO",MODERATE,YES,2024-11-12,8:57PM,JEFFERSON,WEST OUTER ROAD (SOUTHBOUND INTERSTATE 55) AT ELM DRIVE,C
ADULT,69,"ST. LOUIS, MO",NO INJURY,NO,2024-11-12,6:30PM,ST. LOUIS,INTERSTATE 170 SOUTHBOUND SOUTH OF NATURAL BRIDGE,C
ADULT,47,"BERKLEY, MO",MINOR,YES,2024-11-12,6:30PM,ST. LOUIS,INTERSTATE 170 SOUTHBOUND SOUTH OF NATURAL BRIDGE,C
JUVENILE,16,"PARK HILLS, MO",NO INJURY,YES,2024-11-12,5:20PM,WASHINGTON,MISSOURI 8 AT SPRINGTOWN ROAD,C
ADULT,52,"MINERAL POINT, MO",MODERATE,YES,2024-11-12,5:20PM,WASHINGTON,MISSOURI 8 AT SPRINGTOWN ROAD,C
ADULT,21,"FARMINGTON, MO",NO INJURY,YES,2024-11-12,8:00AM,JEFFERSON,NORTHBOUND US 67 SOUTH OF ROUTE CC,C
ADULT,21,"FARMINGTON, MO",MINOR,YES,2024-11-12,8:00AM,JEFFERSON,NORTHBOUND US 67 SOUTH OF ROUTE CC,C
ADULT,20,"WENTZVILLE, MO",MODERATE,YES,2024-11-12,6:58AM,ST. LOUIS,EASTBOUND I-70 AT MO-141,C
ADULT,41,"SAINT LOUIS, MO",NO INJURY,YES,2024-11-12,6:58AM,ST. LOUIS,EASTBOUND I-70 AT MO-141,C
ADULT,53,"ELLISVILLE, MO",NO INJURY,YES,2024-11-12,6:58AM,ST. LOUIS,EASTBOUND I-70 AT MO-141,C
ADULT,57,"FESTUS, MO",MINOR,YES,2024-11-12,12:55AM,JEFFERSON,"NORTHBOUND MILL STREET, SOUTH OF THIRD STREET",C
ADULT,18,"ST. CHARLES, MO",MINOR,YES,2024-11-11,11:26PM,ST. LOUIS,EASTBOUND I-70 AT MO-141,C
JUVENILE,16,"ST. PETERS, MO",SERIOUS,YES,2024-11-11,11:26PM,ST. LOUIS,EASTBOUND I-70 AT MO-141,C
JUVENILE,17,"O'FALLON, MO",MODERATE,YES,2024-11-11,11:26PM,ST. LOUIS,EASTBOUND I-70 AT MO-141,C
ADULT,39,"FLORISSANT, MO",NO INJURY,YES,2024-11-11,11:26PM,ST. LOUIS,EASTBOUND I-70 AT MO-141,C
ADULT,44,"IMPERIAL, MO",SERIOUS,EXEMPT,2024-11-11,8:03PM,JEFFERSON,US 61 AT MILLER EAST ROAD,C
ADULT,22,"ARNOLD, MO",NO INJURY,YES,2024-11-11,8:03PM,JEFFERSON,US 61 AT MILLER EAST ROAD,C
ADULT,44,"IMPERIAL, MO",MODERATE,EXEMPT,2024-11-11,8:02PM,JEFFERSON,US 61 AT MILLER EAST ROAD,C
ADULT,40,"ARNOLD, MO",NO INJURY,YES,2024-11-11,8:02PM,JEFFERSON,US 61 AT MILLER EAST ROAD,C
ADULT,42,"HIGH RIDGE, MO",NO INJURY,YES,2024-11-11,4:32PM,JEFFERSON,NORTHBOUND ANTIRE ROAD AT NOLLMAN ROAD,C
ADULT,43,"HIGH RIDGE, MO",MINOR,YES,2024-11-11,4:32PM,JEFFERSON,NORTHBOUND ANTIRE ROAD AT NOLLMAN ROAD,C
ADULT,58,"WENTZVILLE, MO",MODERATE,YES,2024-11-11,2:50PM,ST. CHARLES,EASTBOUND INTERSTATE 64 WEST OF ROUTE N,C
ADULT,59,"LAKE SAINT LOUIS, MO",MODERATE,NO,2024-11-11,2:45PM,JEFFERSON,NORTHBOUND MISSOURI 21 AT MILE MARKER 186.6,C
ADULT,24,"APPLETON, WI",MINOR,YES,2024-11-11,6:25AM,ST. FRANCOIS,HIGHWAY 67 SOUTH OF CANTERBERRY DRIVE,C
ADULT,21,"FREDERICKTOWN, MO",NO INJURY,YES,2024-11-11,6:25AM,ST. FRANCOIS,HIGHWAY 67 SOUTH OF CANTERBERRY DRIVE,C
ADULT,20,"APPLETON, WI",NO INJURY,YES,2024-11-11,6:25AM,ST. FRANCOIS,HIGHWAY 67 SOUTH OF CANTERBERRY DRIVE,C
ADULT,19,"BISMARCK, MO",NO INJURY,YES,2024-11-11,1:50AM,ST. FRANCOIS,HIGHWAY 32 .25 MILES EAST OF FLAT RIVER ROAD,C
ADULT,48,"FARMINGTON, MO",FATAL,EXEMPT,2024-11-11,1:50AM,ST. FRANCOIS,HIGHWAY 32 .25 MILES EAST OF FLAT RIVER ROAD,C
ADULT,28,"POTOSI, MO",SERIOUS,NO,2024-11-10,8:10PM,FRANKLIN,8353 HIGHWAY FF,C
ADULT,29,"ARNOLD, MO",FATAL,EXEMPT,2024-11-10,5:35PM,JEFFERSON,2312 GRAVOIS ROAD,C
ADULT,76,"BYRNES MILL, MO",NO INJURY,YES,2024-11-10,5:35PM,JEFFERSON,2312 GRAVOIS ROAD,C
ADULT,62,"PERRYVILLE, MO",MODERATE,NO,2024-11-10,5:07PM,PERRY,US-61 AT PERRY COUNTY ROAD 908,C
ADULT,50,"ST. LOUIS, MO",MINOR,YES,2024-11-10,11:04AM,JEFFERSON,OLD SUGAR CREEK RD AND ZARBO LN,C
ADULT,19,"LEADWOOD, MO",MINOR,YES,2024-11-10,1:45AM,JEFFERSON,SOUTHBOUND MISSOURI 21 SOUTH OF ROUTE 110,C
ADULT,33,"JERSEYVILLE, IL",NO INJURY,YES,2024-11-09,8:42PM,ST. LOUIS,EASTBOUND INTERSTATE 64 EAST OF TIMBERLAKE MANOR ROAD,C
ADULT,68,"GRAND JUNCTION, CO",NO INJURY,YES,2024-11-09,8:42PM,ST. LOUIS,EASTBOUND INTERSTATE 64 EAST OF TIMBERLAKE MANOR ROAD,C
ADULT,23,"CHURCH POINT, LA",MINOR,YES,2024-11-09,8:42PM,ST. LOUIS,EASTBOUND INTERSTATE 64 EAST OF TIMBERLAKE MANOR ROAD,C
ADULT,24,"SUNSET, LA",MODERATE,YES,2024-11-09,8:42PM,ST. LOUIS,EASTBOUND INTERSTATE 64 EAST OF TIMBERLAKE MANOR ROAD,C
ADULT,79,"BEAUFORT, MO",FATAL,UNKNOWN,2024-11-09,8:42PM,ST. LOUIS,EASTBOUND INTERSTATE 64 EAST OF TIMBERLAKE MANOR ROAD,C
ADULT,40,"RICHLAND, MO",MODERATE,YES,2024-11-09,6:33PM,ST. LOUIS,WESTBOUND INTERSTATE 44 AT BOWLES AVENUE,C
ADULT,33,"RICHLAND, MO",MODERATE,YES,2024-11-09,6:33PM,ST. LOUIS,WESTBOUND INTERSTATE 44 AT BOWLES AVENUE,C
ADULT,20,"HIGH RIDGE, MO",NO INJURY,YES,2024-11-09,6:33PM,ST. LOUIS,WESTBOUND INTERSTATE 44 AT BOWLES AVENUE,C
ADULT,71,"STE GENEVIEVE, MO",MODERATE,YES,2024-11-09,11:50AM,STE. GENEVIEVE,SPOTT ROAD AT WELLS DRIVE,C
ADULT,18,"ST. CHARLES, MO",MODERATE,YES,2024-11-08,11:10PM,ST. LOUIS,WESTBOUND MO-94 AT ROUTE H,C
ADULT,21,"FLORISSANT, MO",MODERATE,YES,2024-11-08,11:10PM,ST. LOUIS,WESTBOUND MO-94 AT ROUTE H,C
ADULT,20,"FLORISSANT, MO",NO INJURY,YES,2024-11-08,11:10PM,ST. LOUIS,WESTBOUND MO-94 AT ROUTE H,C
JUVENILE,17,"ST. CLAIR, MO",MINOR,YES,2024-11-08,7:03PM,FRANKLIN,WESTBOUND ROUTE TT WEST OF HAWK ROAD,C
JUVENILE,17,"HILLSBORO, MO",MODERATE,YES,2024-11-08,6:15PM,FRANKLIN,EASTBOUND HIGHWAY 30 EAST OF ROUTE FF,C
ADULT,26,"ST. LOUIS, MO",SERIOUS,NO,2024-11-08,4:48PM,ST. LOUIS,EASTBOUND INTERSTATE 70 WEST OF LUCAS AND HUNT ROAD,C
JUVENILE,16,"FLORISSANT, MO",NO INJURY,YES,2024-11-08,4:48PM,ST. LOUIS,EASTBOUND INTERSTATE 70 WEST OF LUCAS AND HUNT ROAD,C
ADULT,26,"PEVELY, MO",NO INJURY,YES,2024-11-08,4:48PM,ST. LOUIS,EASTBOUND INTERSTATE 70 WEST OF LUCAS AND HUNT ROAD,C
ADULT,22,"ST. LOUIS, MO",MODERATE,NO,2024-11-08,6:46AM,ST. LOUIS,SOUTHBOUND I-270 NORTH OF MO-180,C
ADULT,62,"ST. CHARLES, MO",NO INJURY,YES,2024-11-08,6:46AM,ST. LOUIS,SOUTHBOUND I-270 NORTH OF MO-180,C
ADULT,54,"BRIGHTON, IL",NO INJURY,YES,2024-11-08,6:01AM,ST. LOUIS,I-70 EAST OF JENNING STATION RD,C
ADULT,30,"ST. LOUIS, MO",NO INJURY,YES,2024-11-08,6:01AM,ST. LOUIS,I-70 EAST OF JENNING STATION RD,C
ADULT,33,"BRIDGETON, MO",NO INJURY,YES,2024-11-08,6:01AM,ST. LOUIS,I-70 EAST OF JENNING STATION RD,C
ADULT,32,"ST. LOUIS, MO",MINOR,YES,2024-11-08,6:01AM,ST. LOUIS,I-70 EAST OF JENNING STATION RD,C
ADULT,36,"MORSE MILL, MO",MINOR,EXEMPT,2024-11-07,6:10PM,JEFFERSON,NORTHBOUND HIGHWAY B NORTH OF REYNOLDS CREEK ROAD,C
ADULT,UNK,UNKNOWN,NO INJURY,UNKNOWN,2024-11-07,6:10PM,JEFFERSON,NORTHBOUND HIGHWAY B NORTH OF REYNOLDS CREEK ROAD,C
ADULT,48,"CHESTERFIELD, MO",SERIOUS,YES,2024-11-07,3:34PM,ST. LOUIS,"WESTBOUND INTERSTATE 64, EAST OF MARYVILLE CENTER DRIVE",C
ADULT,30,"OVERLAND, MO",SERIOUS,YES,2024-11-06,1:50PM,ST. LOUIS,EASTBOUND INTERSTATE 270 AT MO 367,C
ADULT,24,"ST. LOUIS, MO",SERIOUS,NO,2024-11-06,1:50PM,ST. LOUIS,EASTBOUND INTERSTATE 270 AT MO 367,C
ADULT,32,"OVERLAND, MO",MINOR,YES,2024-11-06,1:50PM,ST. LOUIS,EASTBOUND INTERSTATE 270 AT MO 367,C
JUVENILE,7,"OVERLAND, MO",MINOR,YES,2024-11-06,1:50PM,ST. LOUIS,EASTBOUND INTERSTATE 270 AT MO 367,C
ADULT,32,"WENTZVILLE, MO",NO INJURY,YES,2024-11-06,11:39AM,ST. CHARLES,HIGHWAY 61 AT NORTH POINT PRAIRIE,C
ADULT,54,"WENTZVILLE, MO",MINOR,YES,2024-11-06,11:39AM,ST. CHARLES,HIGHWAY 61 AT NORTH POINT PRAIRIE,C
ADULT,34,"IRONDALE, MO",SERIOUS,YES,2024-11-06,11:20AM,WASHINGTON,MO-21 NEAR FLAMEWOOD RD,C
ADULT,59,"POTOSI, MO",MODERATE,YES,2024-11-06,11:20AM,WASHINGTON,MO-21 NEAR FLAMEWOOD RD,C
ADULT,59,"POTOSI, MO",FATAL,YES,2024-11-06,11:20AM,WASHINGTON,MO-21 NEAR FLAMEWOOD RD,C
ADULT,21,"BONNE TERRE, MO",NO INJURY,YES,2024-11-06,11:20AM,WASHINGTON,MO-21 NEAR FLAMEWOOD RD,C
ADULT,37,"CUBA, MO",SERIOUS,YES,2024-11-06,11:20AM,WASHINGTON,MO-21 NEAR FLAMEWOOD RD,C
